,# of features removed,AOPC-global,optimization
0,0,0.0,0.1
1,1,0.004330114223469936,0.1
2,2,0.024167295537175598,0.1
3,3,0.04215920782997822,0.1
4,4,0.0552148391326245,0.1
5,5,0.06674144241144969,0.1
6,6,0.07738475096504857,0.1
7,7,0.0857866785953114,0.1
8,8,0.09276350751744446,0.1
9,9,0.09922746709024813,0.1
10,10,0.10631812497187187,0.1
11,11,0.11254173428700243,0.1
12,12,0.11821786362938289,0.1
13,13,0.1237317176513342,0.1
14,14,0.12902902199973196,0.1
15,15,0.13445961989984165,0.1
16,16,0.140156470239458,0.1
17,17,0.14547617068387442,0.1
18,18,0.15058739841752225,0.1
19,19,0.15538129572424064,0.1
20,20,0.15984553693277054,0.1
21,21,0.16411514565242039,0.1
22,22,0.16812777034514576,0.1
23,23,0.1720679875395188,0.1
24,24,0.17593032361194744,0.1
25,25,0.1797697630371563,0.1
26,26,0.1834155496225025,0.1
27,27,0.18696855289962536,0.1
28,28,0.190374819958453,0.1
29,29,0.19368986366449603,0.1
30,30,0.19693531788919788,0.1
0,0,0.0,topk-0.1
1,1,0.004330114223469936,topk-0.1
2,2,0.01651585367348093,topk-0.1
3,3,0.036420626432207226,topk-0.1
4,4,0.0506239740144077,topk-0.1
5,5,0.06291572147960235,topk-0.1
6,6,0.0741055615948937,topk-0.1
7,7,0.08360106222523377,topk-0.1
8,8,0.09135929268444375,topk-0.1
9,9,0.0979636737405475,topk-0.1
10,10,0.10385180178504237,topk-0.1
11,11,0.11041037520067377,topk-0.1
12,12,0.11688809828084266,topk-0.1
13,13,0.12353950499715483,topk-0.1
14,14,0.12955583968231396,topk-0.1
15,15,0.13513112471457625,topk-0.1
16,16,0.14032137636455091,topk-0.1
17,17,0.14530596219216999,topk-0.1
18,18,0.15017529497621224,topk-0.1
19,19,0.15469094530942415,topk-0.1
20,20,0.15907593701209186,topk-0.1
21,21,0.16363934239602457,topk-0.1
22,22,0.16800795460142834,topk-0.1
23,23,0.1722330281953793,topk-0.1
24,24,0.17653542374430908,topk-0.1
25,25,0.18060110625771067,topk-0.1
26,26,0.18451728211090238,topk-0.1
27,27,0.1882921542220342,topk-0.1
28,28,0.1919096725328955,topk-0.1
29,29,0.19552144442286587,topk-0.1
30,30,0.19996952782399938,topk-0.1
0,0,0.0,0.5
1,1,0.004330114223469936,0.5
2,2,0.024167295537175598,0.5
3,3,0.04215920782997822,0.5
4,4,0.0552148391326245,0.5
5,5,0.06674144241144969,0.5
6,6,0.07738475096504857,0.5
7,7,0.08784493244807622,0.5
8,8,0.09961437654301981,0.5
9,9,0.11054229715101757,0.5
10,10,0.1197883748957893,0.5
11,11,0.12822885337901346,0.5
12,12,0.1360693255112986,0.5
13,13,0.14311865895080264,0.5
14,14,0.14960097078040116,0.5
15,15,0.1557319066544165,0.5
16,16,0.16150881510640105,0.5
17,17,0.1668536633395723,0.5
18,18,0.17184526264753383,0.5
19,19,0.17697406730090853,0.5
20,20,0.1818513607931984,0.5
21,21,0.1866542963154476,0.5
22,22,0.19153846990631487,0.5
23,23,0.19639063326451525,0.5
24,24,0.20100965743120797,0.5
25,25,0.20543013487485184,0.5
26,26,0.20978107481015143,0.5
27,27,0.2139164124840538,0.5
28,28,0.21786953666370143,0.5
29,29,0.2216689277474221,0.5
30,30,0.2253730861051511,0.5
0,0,0.0,topk-0.5
1,1,0.004330114223469936,topk-0.5
2,2,0.024167295537175598,topk-0.5
3,3,0.04215920782997822,topk-0.5
4,4,0.0552148391326245,topk-0.5
5,5,0.06674144241144969,topk-0.5
6,6,0.07738475096504857,topk-0.5
7,7,0.08784493244807622,topk-0.5
8,8,0.09961437654301981,topk-0.5
9,9,0.11023654106599971,topk-0.5
10,10,0.11928903630183396,topk-0.5
11,11,0.1271124131417383,topk-0.5
12,12,0.1341421919281581,topk-0.5
13,13,0.14079807119873025,topk-0.5
14,14,0.14685388683098827,topk-0.5
15,15,0.15276157658750714,topk-0.5
16,16,0.15843185948682373,topk-0.5
17,17,0.16417739341916987,topk-0.5
18,18,0.17012800205715495,topk-0.5
19,19,0.1757056400274848,topk-0.5
20,20,0.18097136021805152,topk-0.5
21,21,0.18602807886130018,topk-0.5
22,22,0.19096432237281183,topk-0.5
23,23,0.19568281924426834,topk-0.5
24,24,0.20030237405248794,topk-0.5
25,25,0.20479837393994074,topk-0.5
26,26,0.20911229359625325,topk-0.5
27,27,0.2132119541635447,topk-0.5
28,28,0.21726712352740077,topk-0.5
29,29,0.22120845853043336,topk-0.5
30,30,0.22498148213170505,topk-0.5
0,0,0.0,topk-0.5
1,1,0.004330114223469936,topk-0.5
2,2,0.024167295537175598,topk-0.5
3,3,0.04215920782997822,topk-0.5
4,4,0.0552148391326245,topk-0.5
5,5,0.06674144241144969,topk-0.5
6,6,0.07738475096504857,topk-0.5
7,7,0.08784493244807622,topk-0.5
8,8,0.09961437654301981,topk-0.5
9,9,0.11023654106599971,topk-0.5
10,10,0.11928903630183396,topk-0.5
11,11,0.1271124131417383,topk-0.5
12,12,0.1341421919281581,topk-0.5
13,13,0.14079807119873025,topk-0.5
14,14,0.14685388683098827,topk-0.5
15,15,0.15276157658750714,topk-0.5
16,16,0.15843185948682373,topk-0.5
17,17,0.16417739341916987,topk-0.5
18,18,0.17012800205715495,topk-0.5
19,19,0.1757056400274848,topk-0.5
20,20,0.18097136021805152,topk-0.5
21,21,0.18602807886130018,topk-0.5
22,22,0.19096432237281183,topk-0.5
23,23,0.19568281924426834,topk-0.5
24,24,0.20030237405248794,topk-0.5
25,25,0.20479837393994074,topk-0.5
26,26,0.20911229359625325,topk-0.5
27,27,0.2132119541635447,topk-0.5
28,28,0.21726712352740077,topk-0.5
29,29,0.22120845853043336,topk-0.5
30,30,0.22498148213170505,topk-0.5
0,0,0.0,masking-0.1
1,1,0.004330114223469936,masking-0.1
2,2,0.024167295537175598,masking-0.1
3,3,0.04215920782997822,masking-0.1
4,4,0.05632838390187302,masking-0.1
5,5,0.06859735036019723,masking-0.1
6,6,0.07897552920683218,masking-0.1
7,7,0.08923686340963688,masking-0.1
8,8,0.09889830704742149,masking-0.1
9,9,0.10750995839274642,masking-0.1
10,10,0.11526307885170307,masking-0.1
11,11,0.12181015407036366,masking-0.1
12,12,0.1276097342600822,masking-0.1
13,13,0.13288912834199398,masking-0.1
14,14,0.1379084426390958,masking-0.1
15,15,0.14286829696293726,masking-0.1
16,16,0.14747864177040415,masking-0.1
17,17,0.15192165799016658,masking-0.1
18,18,0.15623718243183257,masking-0.1
19,19,0.16177853355827893,masking-0.1
20,20,0.1673967001287543,masking-0.1
21,21,0.1727067242603271,masking-0.1
