,# of features removed,AOPC-global,optimization
0,0,0.0,0.1
1,1,0.008013254980915608,0.1
2,2,0.012867602608066778,0.1
3,3,0.01660659206470251,0.1
4,4,0.020558528321676678,0.1
5,5,0.025051025138009234,0.1
6,6,0.028763895118172907,0.1
7,7,0.03166108604054396,0.1
8,8,0.03398772162974887,0.1
9,9,0.035925622446852205,0.1
10,10,0.03769992350272075,0.1
11,11,0.039289176911219956,0.1
12,12,0.04075838655396446,0.1
13,13,0.04207334876060925,0.1
14,14,0.04334767953718132,0.1
15,15,0.04457157318600707,0.1
16,16,0.045709771024811496,0.1
17,17,0.04674786106773792,0.1
18,18,0.04778899312298788,0.1
19,19,0.04877287681259446,0.1
20,20,0.049707808197857084,0.1
21,21,0.05057544083319022,0.1
22,22,0.05142649024974152,0.1
23,23,0.052271218817812305,0.1
24,24,0.053110203366974834,0.1
25,25,0.053909507472449575,0.1
26,26,0.054696941308621294,0.1
27,27,0.055653721145261965,0.1
28,28,0.056565307015774086,0.1
29,29,0.05748816296913629,0.1
30,30,0.05845382310427962,0.1
0,0,0.0,0.5
1,1,0.008013254980915608,0.5
2,2,0.013061866925208823,0.5
3,3,0.017494755323035058,0.5
4,4,0.021269058928342716,0.5
5,5,0.0256431339768976,0.5
6,6,0.02927141698007722,0.5
7,7,0.03222774121682685,0.5
8,8,0.03507902000889684,0.5
9,9,0.03745663962270776,0.5
10,10,0.039488537766612944,0.5
11,11,0.041246394244551454,0.5
12,12,0.04280400054101268,0.5
13,13,0.04431104172511706,0.5
14,14,0.04563356569805722,0.5
15,15,0.04691690502702648,0.5
16,16,0.04813076802718628,0.5
17,17,0.049316099326728556,0.5
18,18,0.05048369897031099,0.5
19,19,0.051617362229761335,0.5
20,20,0.05266506766132832,0.5
21,21,0.05366214748459842,0.5
22,22,0.05462030456988587,0.5
23,23,0.05555804900243181,0.5
24,24,0.056630027698011114,0.5
25,25,0.057694263160550006,0.5
26,26,0.05876693249279585,0.5
27,27,0.0598152276313838,0.5
28,28,0.06081657538435827,0.5
29,29,0.06182056694507647,0.5
30,30,0.06281230646342892,0.5
0,0,0.0,topk-0.1
1,1,0.008013254980915608,topk-0.1
2,2,0.012867602608066778,topk-0.1
3,3,0.01660659206470251,topk-0.1
4,4,0.020558528321676678,topk-0.1
5,5,0.025051025138009234,topk-0.1
6,6,0.028763895118172907,topk-0.1
7,7,0.03166108604054396,topk-0.1
8,8,0.03399899782382318,topk-0.1
